MONTH,YEAR,VALUE
1,1986,22.93
2,1986,15.45
3,1986,12.61
4,1986,12.84
5,1986,15.38
6,1986,13.43
7,1986,11.58
8,1986,15.1
9,1986,14.87
10,1986,14.9
11,1986,15.22
12,1986,16.11
1,1987,18.65
2,1987,17.75
3,1987,18.3
4,1987,18.68
5,1987,19.44
6,1987,20.07
7,1987,21.34
8,1987,20.31
9,1987,19.53
10,1987,19.86
11,1987,18.85
12,1987,17.27
1,1988,17.13
2,1988,16.8
3,1988,16.2
4,1988,17.86
5,1988,17.42
6,1988,16.53
7,1988,15.5
8,1988,15.52
9,1988,14.54
10,1988,13.77
11,1988,14.14
12,1988,16.38
1,1989,18.02
2,1989,17.94
3,1989,19.48
4,1989,21.07
5,1989,20.12
6,1989,20.05
7,1989,19.78
8,1989,18.58
9,1989,19.59
10,1989,20.1
11,1989,19.86
12,1989,21.1
1,1990,22.86
2,1990,22.11
3,1990,20.39
4,1990,18.43
5,1990,18.2
6,1990,16.7
7,1990,18.45
8,1990,27.31
9,1990,33.51
10,1990,36.04
11,1990,32.33
12,1990,27.28
1,1991,25.23
2,1991,20.48
3,1991,19.9
4,1991,20.83
5,1991,21.23
6,1991,20.19
7,1991,21.4
8,1991,21.69
9,1991,21.89
10,1991,23.23
11,1991,22.46
12,1991,19.5
1,1992,18.79
2,1992,19.01
3,1992,18.92
4,1992,20.23
5,1992,20.98
6,1992,22.38
7,1992,21.78
8,1992,21.34
9,1992,21.88
10,1992,21.69
11,1992,20.34
12,1992,19.41
1,1993,19.03
2,1993,20.09
3,1993,20.32
4,1993,20.25
5,1993,19.95
6,1993,19.09
7,1993,17.89
8,1993,18.01
9,1993,17.5
10,1993,18.15
11,1993,16.61
12,1993,14.51
1,1994,15.03
2,1994,14.78
3,1994,14.68
4,1994,16.42
5,1994,17.89
6,1994,19.06
7,1994,19.65
8,1994,18.38
9,1994,17.45
10,1994,17.72
11,1994,18.07
12,1994,17.16
1,1995,18.04
2,1995,18.57
3,1995,18.54
4,1995,19.9
