IATA,ID
ANV,10313
OMA,13871
ANI,10304
CKD,11028
TPA,15304
SHX,14816
DCA,11278
HCR,12087
MKE,13342
RIC,14524
ORD,13930
ADQ,10170
PBI,14027
CLT,11057
TOG,15293
RST,14633
JGC,12483
HHH,12124
ANC,10299
SAT,14683
ORF,13931
DLG,11336
TUL,15370
ILI,12321
SLQ,14880
SCC,14709
RDV,14493
SJC,14831
MIA,13303
PHL,14100
PTH,14273
BOS,10721
AKN,10245
CMI,11067
ICT,12278
CHU,10996
KLG,12719
MOB,13422
JFK,12478
ENA,11555
MDW,13232
JAC,12441
RDU,14492
BDL,10529
SRV,14987
MSN,13485
RSW,14635
IAH,12266
PIT,14122
LAS,12889
KGX,12676
RSH,14627
ABQ,10140
UNK,15478
STG,15012
DSM,11423
IND,12339
GSO,11995
CHS,10994
MGM,13277
DAY,11267
CMH,11066
PVD,14307
PAQ,14013
BGR,10581
MYR,13577
JNU,12523
BWI,10821
MSP,13487
MKC,13341
AUS,10423
BRW,10754
LSE,13076
CLE,11042
LAX,12892
EMK,11550
FLL,11697
DFW,11298
JAX,12451
MSY,13495
MEM,13244
MDT,13230
CRW,11146
CID,11003
SEA,14747
PHX,14107
CVG,11193
FAI,11630
TEB,15167
CDV,10926
YAK,15991
ABE,10135
KSM,12807
GAM,11845
SVS,15061
MOU,13434
UXM,15527
BVU,16390
SXP,15085
BFI,10559
BUF,10792
ACY,10158
PQS,14234
SFO,14771
BET,10551
MCG,13196
SKJ,14855
OLH,13863
KOZ,12772
ORI,13934
KPR,12782
KWP,12854
KLN,12721
KKB,12705
EWR,11618
IAD,12264
MRI,13467
XWA,15934
SKW,14863
TYE,15406
SYB,15091
KTN,12819
EIL,11517
EAA,11463
HUS,12235
A27,10040
FRD,11762
TKE,15231
RSJ,14628
KEH,12652
LKE,13002
WSX,15856
SIT,14828
RCE,14477
KAL,12615
PEC,14062
PWT,14323
OME,13873
OTZ,13970
HBH,12079
ALZ,10278
LPS,13055
SHG,14804
SQV,14972
ODW,13821
WLK,15785
BYW,10844
EXI,11619
AGN,10204
VWE,15650
ELV,11545
PBK,14028
OLM,13865
IAN,12268
SKK,14856
NUW,13772
KAE,12610
PDX,14057
TIW,15220
KKA,12704
AKK,10243
HNH,12171
MOS,13432
TWD,15387
BIG,10616
MLY,13381
GST,11997
HKB,12141
UGI,15446
KMY,12743
KOY,12771
KPY,12785
AOS,10324
KZB,12869
06A,10006
IRC,12370
A29,10042
KYK,12866
HOM,12184
DGB,11299
BFB,10556
KCG,12635
HSL,12214
RBY,14474
UTO,15504
CIK,11007
WBQ,15725
GAL,11844
RMP,14559
TAL,15124
VEE,15581
KYU,12868
ARC,10349
ENN,11559
MHM,13292
BTT,10783
NIB,13676
AET,10184
FYU,11833
MNT,13415
SVW,15063
WCR,15731
RBH,14468
UMT,15472
NUL,13768
HGZ,12122
CKX,11036
KUK,12831
KWK,12851
ATT,10405
KEK,12653
NNL,13715
PDB,14046
KWT,12855
TLF,15248
EEK,11492
AKI,10241
KLL,12720
NUP,13770
KGK,12671
KNW,12755
WTL,15862
KNK,12748
SCM,14718
KMO,12737
CYM,11230
IGG,12294
KKH,12708
WTK,15861
KKI,12709
PTA,14268
KPN,12779
GNU,11952
MLL,13369
PKA,14130
NME,13710
NNK,13714
WWT,15887
CXF,11214
WNA,15798
EGX,11511
AUK,10416
TLT,15257
PIP,14119
BTI,10775
HPB,12195
CYF,11227
HNS,12175
KCL,12638
TKJ,15236
WQZ,15838
VDZ,15579
LMA,13016
OBU,13806
ABL,10139
ORT,13940
NUI,13767
PTU,14282
DCK,11280
LIV,12993
ATK,10396
CZN,11245
GKN,11924
KBC,12621
WBB,15721
TCT,15160
CHP,10991
TEK,15171
PPC,14218
CEM,10938
SGY,14797
PSG,14256
SMK,14895
DQL,11392
CZF,11241
MXY,13564
AKP,10247
KCQ,12641
BSZ,10770
NLG,13704
UGB,15444
KFP,12663
PCE,14040
WSN,15853
PML,14167
SDP,14738
VZM,15688
A57,10070
CFA,10951
OQC,13903
TWA,15385
CDB,10917
KVC,12841
KPV,12784
VZY,15700
PCA,14037
CLP,11053
VZN,15689
KQA,12786
OQP,13914
WKK,15774
OQI,13908
BIC,10612
GLV,11941
KVL,12844
DRG,11411
KWN,12853
SHH,14805
ORV,13942
WAA,15709
KOT,12769
WMO,15794
RDB,14485
KTS,12822
TLA,15245
ELI,11535
A07,10020
OOK,13894
MYU,13579
BKC,10640
LVD,13115
KPC,12774
TNK,15282
LUR,13111
PHO,14102
VAK,15554
GMT,11946
A12,10025
KPM,12778
VIK,15599
GBH,11859
PIZ,14125
A37,10050
VZA,15676
FVQ,11813
WFB,15741
A23,10036
SOV,14942
MYH,13572
PGA,14081
GCN,11869
RQI,14601
EDA,11484
BLD,10661
KWF,12847
KXA,12857
PPV,14229
MTM,13504
ZXM,16345
DOF,11367
LIJ,12983
NKI,13693
PTD,14270
HYG,12252
KTB,12815
UXR,15532
DQR,11398
PGM,14088
CGA,10961
EHM,11512
KPB,12773
WWP,15885
WMK,15793
TLJ,15250
KCC,12633
HYL,12253
ZXN,16346
MVM,13536
WYB,15894
FWL,11825
SDX,14744
PRC,14237
ZNC,16311
FBK,11643
FLT,11702
DRF,11410
BCE,10511
WHD,15754
AZ4,16451
TUS,15376
PVY,14316
KBE,12622
OPH,13899
BOI,10713
CHA,10980
ROC,14576
AIN,10225
A98,10111
BLI,10666
KEB,12649
A03,10016
SWD,15069
A83,10096
SVA,15049
A52,10065
08A,10008
TKA,15228
A28,10041
A02,10015
FNR,11720
LGA,12953
FOE,11726
LKK,13003
A26,10039
CEX,10948
VZR,15693
TSG,15339
OAK,13796
VNY,15618
SAN,14679
MCI,13198
SLN,14877
WRG,15841
HRO,12207
KLW,12728
TCM,15154
OGG,13830
TNC,15278
CDL,10923
OHC,13841
