ORIGIN,DEST,DISTANCE
LBB,AUS,341
DCA,CHO,91
FWA,GRR,132
MDT,LGA,157
MOB,PNS,65
ADQ,ILI,164
AKN,PTH,140
DLG,TOG,67
JNU,CDV,411
PTH,ANC,423
TOG,ANC,388
CAE,OAK,2304
DEN,SLC,391
JAX,ATL,270
LCK,PIA,362
LRD,MEM,762
ONT,RFD,1642
ONT,SEA,956
PVD,FWA,717
RFD,SEA,1659
SDF,LIT,432
SDF,ONT,1796
SDF,SEA,1945
SJU,CAE,1418
SLC,MHR,520
ATL,EWR,746
BOS,IND,818
BOS,MSP,1124
CHS,JFK,636
JFK,ROC,264
LGA,GSP,610
BRW,FAI,503
HOM,NIN,26
NIN,HOM,26
DTW,EWR,488
SLC,ORD,1250
JFK,SFO,2586
BWI,ISP,220
BWI,MKE,641
PHX,MHT,2280
CLT,MKE,651
DCA,TYS,437
MKE,CLT,651
PHL,ORF,212
PHL,SAV,629
SAV,PHL,629
TYS,PHL,554
CLT,ILM,185
ILM,CLT,185
EYW,JAX,409
EYW,PNS,526
EYW,TLH,432
FLL,GNV,281
FLL,PNS,525
GNV,FLL,281
JAX,EYW,409
PBI,TLH,364
PNS,EYW,526
PNS,FLL,525
PNS,PBI,504
PNS,RSW,427
RSW,PNS,427
CLT,ORD,599
ORF,RIC,75
ORF,ORF,0
ITO,KOA,65
ITO,LIH,318
ITO,OGG,121
KOA,ITO,65
KOA,LIH,263
KOA,OGG,84
LIH,OGG,201
OGG,ITO,121
OGG,KOA,84
OGG,LIH,201
ORD,PHX,1440
PHX,BOS,2300
BWI,IAD,45
EWR,PVD,160
PVD,EWR,160
CLT,SAT,1095
CLT,SYR,603
SAT,CLT,1095
SYR,CLT,603
ANC,IND,3020
ANC,RFD,2795
IND,SDF,111
MCI,IND,451
MKE,STL,317
PHL,STL,814
RDU,IND,489
SDF,SAT,942
CHS,LGA,641
DTW,LEX,296
JFK,ORF,290
JFK,PIT,340
ORF,JFK,290
PHL,JFK,94
BRW,SCC,204
DTW,SEA,1927
SCC,ANC,627
SEA,DTW,1927
ABE,ATL,692
ABQ,ATL,1269
ADW,NZY,2287
AGS,ATL,143
ALB,ATL,853
ALB,DTW,489
ANC,SEA,1448
ATL,ABE,692
ATL,ABQ,1269
ATL,AGS,143
ATL,ALB,853
ATL,ATW,765
ATL,AVL,164
ATL,BDL,859
ATL,BHM,134
ATL,BNA,214
ATL,BTR,448
ATL,BWI,577
ATL,CAE,192
ATL,CAK,528
ATL,CHA,106
ATL,CHO,457
ATL,CHS,259
ATL,CLE,554
ATL,CLT,226
ATL,CVG,373
ATL,DAL,721
ATL,DCA,547
ATL,DEN,1199
ATL,DSM,743
ATL,DTW,594
ATL,ECP,240
ATL,EVV,350
ATL,FAY,331
ATL,FNT,645
ATL,GNV,300
ATL,GPT,352
ATL,GRR,640
ATL,GSO,306
ATL,GSP,153
ATL,HOU,696
ATL,HSV,151
ATL,IAD,534
ATL,IAH,689
ATL,ICT,782
ATL,ILM,377
ATL,IND,432
ATL,JAN,341
ATL,JAX,270
ATL,JFK,760
ATL,LEX,304
ATL,LFT,503
ATL,LIT,453
ATL,MCI,692
ATL,MCO,404
ATL,MDT,620
ATL,MDW,591
