ORIG,DEST,NUM
EEN,TEB,169
EEN,HPN,146
EEN,HTO,134
EEN,ACK,161
EEN,PCT,212
EEN,LDJ,188
EEN,SBN,724
EEN,PVD,92
EEN,DEN,1687
EEN,AFK,1226
JHW,PIT,125
JHW,BUF,61
JHW,MDT,188
JHW,SYR,174
JHW,FKL,62
JHW,YIP,219
JHW,PKB,225
JHW,BFD,40
JHW,CLE,144
JHW,JHW,0
JHW,DUJ,70
JHW,BDL,338
JHW,BWI,246
JHW,DVN,585
JHW,LUK,343
JHW,PTK,216
FWS,BUR,1220
LOT,BUR,1721
BEC,VWS,4
ICT,ATL,782
ICT,MSP,545
ICT,MIA,1295
ICT,FSD,411
ICT,VNY,1202
ICT,ELD,401
ICT,SLN,80
ICT,LBL,199
ICT,PHX,870
ICT,GYY,600
ICT,DTW,810
ICT,IAH,542
ICT,CLL,491
ICT,LAN,765
ICT,TUL,132
ICT,STL,392
ICT,MCI,186
ICT,AUS,514
ICT,BTR,608
ICT,COS,403
ICT,FNT,809
ICT,PIA,465
ICT,DEN,420
ICT,LCH,572
ICT,SHV,413
ICT,SJT,468
ICT,ABE,1196
ICT,MHT,1415
ICT,ERI,965
ICT,TVC,787
ICT,LRD,706
ICT,DFW,328
ICT,MHK,111
ICT,BMI,498
ICT,HUF,562
ICT,MWA,461
ICT,ALO,431
ICT,EVV,542
ICT,MDW,589
ICT,ORD,588
ICT,LBB,369
ICT,FSM,234
ICT,SPS,259
ICT,XNA,197
ICT,IDA,868
ICT,MLI,453
ICT,CPR,599
ICT,DSM,335
ICT,SFO,1364
ICT,HSV,631
ICT,OAK,1355
ICT,MTJ,573
ICT,PUB,388
ICT,ICT,0
ICT,OKC,156
ICT,SAT,563
ICT,SMX,1296
ICT,ELP,648
ICT,TUS,856
ICT,SDM,1159
ICT,BUF,1051
ICT,AFW,321
ICT,IFP,969
ICT,ACY,1241
ICT,DLH,689
ICT,MEM,453
ICT,DAL,333
ICT,LAS,986
ICT,BNA,605
ICT,ENV,914
ICT,BWI,1129
ICT,FAT,1228
ICT,MER,1268
ICT,CLE,870
ICT,DCA,1110
ICT,HOU,565
ICT,CVG,699
ICT,BFI,1431
ICT,LAX,1203
ICT,CHS,1035
ICT,RIC,1102
ICT,SAN,1166
ICT,SDF,640
ICT,GCK,181
ICT,AZA,855
ICT,GTF,980
ICT,SGF,224
ICT,CID,422
ICT,LUK,713
ICT,BUR,1195
ICT,TVI,903
ICT,PBI,1263
ICT,YIP,802
ICT,DDC,139
ICT,FSK,146
ICT,GUY,234
ICT,CRP,681
ICT,GSP,869
ICT,FOE,132
ICT,MKE,622
ICT,AEX,517
ICT,MAF,478
ICT,LFT,601
ICT,OMA,265
ICT,EWR,1263
ICT,FAR,641
ICT,SCE,1071
ICT,LEX,701
ICT,LAR,508
ICT,MSN,570
ICT,CKB,938
ICT,SLC,809
ICT,TYS,756
ICT,PSP,1102
ICT,ABQ,542
ICT,IAD,1087
ICT,GBD,91
ICT,SBN,655
ICT,CSG,791
ICT,CNO,1160
ICT,SNA,1179
ICT,UTM,446
ICT,YNG,928
ICT,NYL,1030
ICT,CMH,800
ICT,GPT,692
ICT,ALB,1294
ICT,ABI,383
ICT,MCO,1129
ICT,ONT,1156
ICT,BIL,803
ICT,IAB,9
ICT,GCN,823
ICT,DAY,729
ICT,OLS,876
ICT,PTK,817
ICT,GRK,454
ICT,MSY,669
ICT,GRB,676
ICT,GRI,234
ICT,RST,503
ICT,GJT,610
ICT,CHA,705
ICT,FWA,694
ICT,PDX,1406
ICT,BHM,664
ICT,AGS,919
ICT,INT,958
ICT,GFK,711
ICT,BOI,1066
ICT,BPT,566
ICT,JLN,165
ICT,CLT,932
ICT,RAP,530
ICT,COD,767
ICT,SCK,1300
ICT,RNO,1213
ICT,AMA,291
ICT,PAE,1439
ICT,RFD,542
ICT,PIT,944
ICT,CMI,520
ICT,ECP,835
ICT,JAN,556
ICT,CAE,950
ICT,CYS,463
ICT,ROA,958
ICT,PHL,1205
ICT,BOS,1433
ICT,IND,619
ICT,TLH,900
ICT,LIT,354
ICT,RSL,113
ICT,HYS,130
ICT,GRR,725
ICT,JQF,942
ICT,SPI,445
ICT,DBQ,484
ICT,MCN,851
ICT,HAR,1120
ICT,SJC,1343
ICT,RIV,1142
BIC,EGX,38
BIC,AKN,78
BIC,A57,42
SAC,OLM,588
SAC,SBD,386
SAC,SFO,78
SAC,RNO,115
SAC,SMO,353
SAC,BUR,345
SAC,SBA,296
SAC,RDD,144
SAC,AUS,1472
SAC,LAS,387
MVY,EWB,26
MVY,HPN,163
MVY,MMU,203
MVY,OWD,62
MVY,ACK,30
MVY,BDR,132
MVY,BED,82
MVY,BVY,84
MVY,HYA,26
MVY,LCI,156
MVY,UBF,38
MVY,BOS,70
MVY,TTN,233
MVY,IAD,400
MVY,TEB,184
MVY,BUR,2626
MVY,HTO,90
MVY,FOK,112
MVY,DXR,149
MVY,EWR,192
MVY,PTW,271
MVY,PVD,48
MVY,LGA,175
MVY,JFK,173
MVY,DCA,383
MVY,BTV,248
MVY,FRG,153
MVY,HVN,119
MVY,PCT,223
MVY,MDW,887
MVY,SBA,2696
MVY,MA5,122
MVY,FID,74
MVY,MPO,249
MVY,WST,62
MVY,OXC,131
MVY,WVL,222
MVY,IPT,329
MVY,ZXU,44
MVY,RIC,448
MVY,NPT,36
MVY,VGC,273
MVY,LEB,177
MVY,BHB,240
MVY,BKL,574
MVY,NY1,178
MVY,ORH,89
MVY,PWM,156
MVY,AGC,493
MVY,XXE,208
MVY,BDL,114
MVY,BID,53
MVY,ISS,183
MVY,BWI,355
MVY,ITH,310
MVY,MA4,49
MVY,PSF,155
MVY,HFD,108
MVY,SAV,867
MVY,CVG,760
MVY,JZU,170
MVY,VNY,2632
MVY,PHL,265
MVY,EUG,2636
MVY,MSY,1350
JZN,BFI,118
ABE,ATL,692
ABE,SLN,1187
ABE,MDT,77
ABE,ORD,654
ABE,AVP,50
ABE,EWR,67
ABE,LGA,83
ABE,TYS,572
ABE,IND,578
ABE,MOB,993
ABE,DAY,467
ABE,JFK,87
ABE,AVL,528
ABE,DTW,425
ABE,IAD,159
ABE,CSG,770
ABE,CLT,481
ABE,GSO,398
ABE,BHM,792
ABE,PHL,55
ABE,DCA,151
ABE,SCE,127
ABE,TCL,845
ABE,MCI,1025
ABE,GPT,1041
ABE,UTM,913
ABE,PIE,970
ABE,BWI,121
ABE,IFP,2153
ABE,PGD,1018
ABE,SDF,576
ABE,MEM,883
ABE,MYR,518
ABE,SFB,882
ABE,ILN,451
ABE,OAK,2490
ABE,MCO,906
ABE,ALO,887
ABE,AND,582
ABE,HPN,95
ABE,FRG,107
ABE,LAN,495
ABE,CAK,315
ABE,ACY,94
ABE,PIT,252
ABE,SBN,571
ABE,CLE,339
ABE,FWA,512
ABE,CHA,659
ABE,RIC,239
ABE,BTV,288
ABE,PSM,291
ABE,GSP,543
ABE,LRD,1639
ABE,ROC,205
ABE,YIP,434
ABE,LEX,523
ABE,OCF,879
ABE,HUF,634
ABE,TEB,74
ABE,SAV,669
ABE,GRR,543
ABE,CVG,503
ABE,BDL,169
ABE,CAE,558
ABE,MBS,486
ABE,EVV,672
ABE,CID,850
ABE,PVD,222
ABE,TRI,474
ABE,BED,249
ABE,DAB,852
ABE,ROA,335
ABE,TPA,962
ABE,CMH,396
ABE,PTK,436
ABE,ACK,284
ABE,MSP,948
ABE,RWI,357
ABE,ELM,128
ABE,IAH,1339
ABE,BGM,111
ABE,JAX,783
ABE,FSD,1110
ABE,ICT,1196
ABE,LYH,306
ABE,SWF,91
ABE,ORF,262
ABE,PHF,249
ABE,ERI,265
ABE,RDU,376
ABE,TVC,588
ABE,CHS,592
