ORG,DEST,DIST
EEN,HPN,146
EEN,ACK,161
EEN,SBN,724
EEN,PVD,92
EEN,DEN,1687
ICT,ATL,782
ICT,MSP,545
ICT,MIA,1295
ICT,FSD,411
ICT,ELD,401
ICT,SLN,80
ICT,LBL,199
ICT,PHX,870
ICT,GYY,600
ICT,DTW,810
ICT,IAH,542
ICT,CLL,491
ICT,LAN,765
ICT,TUL,132
ICT,STL,392
ICT,MCI,186
ICT,AUS,514
ICT,BTR,608
ICT,COS,403
ICT,FNT,809
ICT,PIA,465
ICT,DEN,420
ICT,LCH,572
ICT,SHV,413
ICT,SJT,468
ICT,ABE,1196
ICT,MHT,1415
ICT,ERI,965
ICT,TVC,787
ICT,LRD,706
ICT,DFW,328
ICT,MHK,111
ICT,BMI,498
ICT,HUF,562
ICT,ALO,431
ICT,EVV,542
ICT,MDW,589
ICT,ORD,588
ICT,LBB,369
ICT,FSM,234
ICT,SPS,259
ICT,IDA,868
ICT,MLI,453
ICT,CPR,599
ICT,DSM,335
ICT,SFO,1364
ICT,HSV,631
ICT,OAK,1355
ICT,PUB,388
ICT,ICT,0
ICT,OKC,156
ICT,SAT,563
ICT,SMX,1296
ICT,ELP,648
ICT,TUS,856
ICT,BUF,1051
ICT,AFW,321
ICT,IFP,969
ICT,ACY,1241
ICT,DLH,689
ICT,MEM,453
ICT,DAL,333
ICT,LAS,986
ICT,BNA,605
ICT,BWI,1129
ICT,FAT,1228
ICT,MER,1268
ICT,CLE,870
ICT,DCA,1110
ICT,HOU,565
ICT,CVG,699
ICT,BFI,1431
ICT,LAX,1203
ICT,CHS,1035
ICT,RIC,1102
ICT,SAN,1166
ICT,SDF,640
ICT,GCK,181
ICT,AZA,855
ICT,GTF,980
ICT,SGF,224
ICT,CID,422
ICT,LUK,713
ICT,BUR,1195
ICT,PBI,1263
ICT,YIP,802
ICT,DDC,139
ICT,CRP,681
ICT,GSP,869
ICT,FOE,132
ICT,MKE,622
ICT,AEX,517
ICT,MAF,478
ICT,LFT,601
ICT,OMA,265
ICT,EWR,1263
ICT,FAR,641
ICT,SCE,1071
ICT,LEX,701
ICT,LAR,508
ICT,MSN,570
ICT,CKB,938
ICT,SLC,809
ICT,TYS,756
ICT,PSP,1102
ICT,ABQ,542
ICT,IAD,1087
ICT,SBN,655
ICT,CSG,791
ICT,SNA,1179
ICT,YNG,928
ICT,CMH,800
ICT,GPT,692
ICT,ALB,1294
ICT,ABI,383
ICT,MCO,1129
ICT,ONT,1156
ICT,BIL,803
ICT,IAB,9
ICT,GCN,823
ICT,DAY,729
ICT,GRK,454
ICT,MSY,669
ICT,GRB,676
ICT,GRI,234
ICT,RST,503
ICT,GJT,610
ICT,CHA,705
ICT,FWA,694
ICT,PDX,1406
ICT,BHM,664
ICT,AGS,919
ICT,INT,958
ICT,GFK,711
ICT,BOI,1066
ICT,BPT,566
ICT,JLN,165
ICT,CLT,932
ICT,RAP,530
ICT,RNO,1213
ICT,AMA,291
ICT,PAE,1439
ICT,RFD,542
ICT,PIT,944
ICT,CMI,520
ICT,ECP,835
ICT,JAN,556
ICT,CAE,950
ICT,CYS,463
ICT,ROA,958
ICT,PHL,1205
ICT,BOS,1433
ICT,IND,619
ICT,TLH,900
ICT,LIT,354
ICT,GRR,725
ICT,SPI,445
ICT,DBQ,484
ICT,MCN,851
ICT,SJC,1343
MVY,EWB,26
MVY,HPN,163
MVY,MMU,203
MVY,ACK,30
MVY,BDR,132
MVY,BED,82
MVY,BVY,84
MVY,HYA,26
MVY,BOS,70
MVY,TTN,233
MVY,IAD,400
MVY,BUR,2626
MVY,EWR,192
MVY,PVD,48
MVY,LGA,175
MVY,JFK,173
MVY,DCA,383
MVY,BTV,248
MVY,HVN,119
MVY,MDW,887
MVY,SBA,2696
MVY,FID,74
MVY,IPT,329
MVY,RIC,448
MVY,LEB,177
MVY,BHB,240
MVY,BKL,574
MVY,ORH,89
MVY,PWM,156
MVY,AGC,493
MVY,BDL,114
MVY,BWI,355
MVY,ITH,310
MVY,SAV,867
MVY,CVG,760
MVY,PHL,265
MVY,EUG,2636
MVY,MSY,1350
ABE,ATL,692
ABE,SLN,1187
ABE,MDT,77
ABE,ORD,654
ABE,AVP,50
ABE,EWR,67
ABE,LGA,83
ABE,TYS,572
ABE,IND,578
ABE,MOB,993
ABE,DAY,467
ABE,JFK,87
ABE,AVL,528
ABE,DTW,425
ABE,IAD,159
ABE,CSG,770
ABE,CLT,481
ABE,GSO,398
ABE,BHM,792
ABE,PHL,55
ABE,DCA,151
ABE,SCE,127
ABE,TCL,845
ABE,MCI,1025
ABE,GPT,1041
ABE,PIE,970
ABE,BWI,121
ABE,IFP,2153
ABE,SDF,576
ABE,MEM,883
ABE,MYR,518
ABE,SFB,882
ABE,OAK,2490
ABE,MCO,906
ABE,ALO,887
ABE,AND,582
ABE,HPN,95
ABE,LAN,495
ABE,CAK,315
ABE,ACY,94
ABE,PIT,252
ABE,SBN,571
ABE,CLE,339
ABE,FWA,512
ABE,CHA,659
ABE,RIC,239
ABE,BTV,288
ABE,PSM,291
ABE,GSP,543
ABE,LRD,1639
ABE,ROC,205
ABE,YIP,434
ABE,LEX,523
ABE,HUF,634
ABE,SAV,669
ABE,GRR,543
ABE,CVG,503
ABE,BDL,169
ABE,CAE,558
ABE,MBS,486
ABE,EVV,672
ABE,CID,850
ABE,PVD,222
ABE,TRI,474
ABE,BED,249
ABE,DAB,852
ABE,ROA,335
ABE,TPA,962
ABE,CMH,396
ABE,ACK,284
ABE,MSP,948
ABE,RWI,357
ABE,ELM,128
ABE,IAH,1339
ABE,BGM,111
ABE,JAX,783
ABE,FSD,1110
ABE,ICT,1196
ABE,LYH,306
ABE,SWF,91
ABE,ORF,262
ABE,PHF,249
ABE,ERI,265
ABE,RDU,376
ABE,TVC,588
ABE,CHS,592
ABE,GRB,699
ABE,BNA,685
ABE,PIA,748
ABE,ALB,168
ABE,SHV,1166
ABE,PBG,294
ABE,RSW,1038
ABE,FAR,1149
ABE,OKC,1258
ABE,FLL,1041
ABE,PUB,1555
ABE,ITH,137
ABE,MSN,736
ABE,MKE,662
ABE,CMI,679
ABE,FNT,457
ABE,TUL,1149
ABE,DSM,951
ABE,LBE,211
ABE,TUS,2049
BIL,SLC,387
BIL,FAR,565
BIL,LIT,1148
BIL,MSP,748
BIL,BZN,126
BIL,CYS,372
BIL,GEG,445
BIL,BOI,409
BIL,DEN,455
BIL,FAT,851
